Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K)
C2F4,4.9648,0.061892,-6.2021e-05,2.902e-08,-5.1284e-12,-160.29,73.976691
C2F4_OH,5.5231,0.083345,-8.0976e-05,3.6864e-08,-6.3455e-12,-210.36,24.195
C2F4O2,7.0756,0.085872,-8.4612e-05,3.8465e-08,-6.5923e-12,-145.69,88.684
C2F4O_CFO,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,79.899
C2F4O_epox,2.7566,0.081434,-7.9936e-05,3.6265e-08,-6.2081e-12,-230.5,76.054
C3F6O_epox,4.2664,0.11981,-0.00011762,5.3321e-08,-9.1184e-12,-337.64,91.474
C3F6O2_dioxane,4.2387,0.13347,-0.00013031,5.8702e-08,-9.9786e-12,0.0,95.386
C3F6O2_1st,8.4398,0.12567,-0.00012458,5.6876e-08,-9.7768e-12,0.0,106.04
C4F7O,8.9241,0.13439,-0.00013079,5.906e-08,-1.0085e-11,-300.33,106.98
C2F3O,7.1063,0.052812,-4.9096e-05,2.1525e-08,-3.6064e-12,-146.25,76.899
CF3CFO,3.1263,0.07355,-7.0999e-05,3.1939e-08,-5.4447e-12,-260.52,74.839
CF3CFOH,5.4323,0.083676,-8.1428e-05,3.7124e-08,-6.3984e-12,-231.88,83.107
CF2OH,4.0407,0.043616,-4.0623e-05,1.8042e-08,-3.0514e-12,-109.79,67.02
C2F5,5.8156,0.073558,-7.1129e-05,3.1771e-08,-5.3613e-12,-213.0,81.437321
C3F7,6.2485,0.11815,-0.00011889,5.5103e-08,-9.604e-12,-312.05,96.543888
C4F9,10.458,0.14535,-0.00014061,6.2826e-08,-1.0604e-11,-409.98,114.89
C5F11,12.509,0.1821,-0.00017635,7.8856e-08,-1.3317e-11,-507.44,124.440708
C6F13,14.833,0.21805,-0.00021118,9.4427e-08,-1.5946e-11,-605.04,138.77868
C7F15,16.979,0.25448,-0.00024654,1.1027e-07,-1.8624e-11,-702.8,152.659706
C8F17,15.505,0.30662,-0.00030447,1.3926e-07,-2.3979e-11,-800.34,166.66
C3F4,6.1059,0.069647,-6.6678e-05,2.9971e-08,-5.1212e-12,-119.08,81.873
C3F5,10.973,0.071301,-6.6791e-05,2.9348e-08,-4.9154e-12,-160.82,90.468
C4F7,9.4988,0.11984,-0.00011699,5.2971e-08,-9.0669e-12,-274.97,106.35
