Molecule,a0,a1,a2,a3,a4,S
1H_butane_2000_,8.233783920463802,0.1540241056558055,-0.00014398104147996974,6.30562993097941e-08,-1.0508011127896566e-11,121.952
1H_decane_2000_,21.644361514536573,0.37114618027490953,-0.00035446598552877056,1.5722619744372923e-07,-2.6415758469511275e-11,225.991
1H_dodecane_2000_,26.015115603474246,0.4438137674349405,-0.00042496553682382505,1.887863839550026e-07,-3.1749658457869145e-11,259.47
1H_ethane_2000_,3.8523487806643177,0.08156870910351248,-7.38267456878977e-05,3.1693524735788576e-08,-5.21237220052484e-12,86.783
1H_heptane_2000_,14.999974101297036,0.2623753806995972,-0.00024896688967221506,1.1000789028922219e-07,-1.8436918658437662e-11,173.858
1H_hexane_2000_,12.733136994853345,0.22630478427770634,-0.00021402780778057278,9.438531274993034e-08,-1.5798945485201443e-11,156.744
1H_methane_2000_,1.825994419604253,0.044674560506598675,-3.786033993009421e-05,1.552097560509965e-08,-2.4684282395881496e-12,65.945
1H_nonane_2000_,19.25534174562689,0.3353853524557649,-0.00031985672687673885,1.4176332759638713e-07,-2.3806512317037232e-11,207.737
1H_octane_2000_,17.0242546249913,0.29922455311632623,-0.00028482642773670116,1.2609905478136387e-07,-2.1161461472019027e-11,190.489
1H_pentane_2000_,10.623803475721086,0.18974743254818918,-0.00017852892352789374,7.848416029441118e-08,-1.3110540431071627e-11,139.855
1H_propane_2000_,6.2126266100161915,0.11723096055586171,-0.00010822836660457278,4.7032132806609805e-08,-7.797484880001093e-12,105.836
1H_undecane_2000_,23.820630060579262,0.4074319940050586,-0.000389617200090518,1.72943851646035e-07,-2.906969109872648e-11,242.578
1_butane_2000_,9.17080992305339,0.15250331859641436,-0.00014441464096148128,6.40560898396733e-08,-1.0787010173984868e-11,123.609
1_octane_alpha_prod_prod_ene_2000_,16.540370603529986,0.23794973878159567,-0.00022826389202298587,1.0144995597527505e-07,-1.706360053255196e-11,169.074
1_pentane_2000_,11.385224968038292,0.18874962166513257,-0.00017956543484216338,7.978693127983405e-08,-1.3444911850513108e-11,140.48
21_propene_2000_,2.756577834340811,0.09251950114642872,-8.396148205325561e-05,3.66459614518878e-08,-6.142752972948529e-12,87.573
22_butene_2000_,3.409889102508176,0.12298080182310439,-0.00010910075370343977,4.682942225481496e-08,-7.754727415765217e-12,100.768
22_fts_2000_,5.671681841447724,0.18538346392450178,-0.0001639834477345612,7.032668334601498e-08,-1.164041085743861e-11,131.883
22_ftsa_2000_,4.666542368022274,0.19345145405369563,-0.00016907336394623114,7.220025270902289e-08,-1.1939532695848243e-11,133.137
22ftoh_2000_,3.589492590576362,0.14352642741349056,-0.00011919770067880098,4.8824596478918496e-08,-7.817385627717499e-12,111.782
22rh_2000_,2.5684848316442466,0.13143091902966225,-0.00010648473038090268,4.285204772775319e-08,-6.783712480640247e-12,103.393
23_ftca_2000_,2.585284504294694,0.17220279180357212,-0.00014675031410119825,6.120847134448773e-08,-9.928613486920312e-12,124.47
2_butene_2000_,8.777618306837969,0.13313811865109218,-0.00012754850083326628,5.667404761104894e-08,-9.534512068753997e-12,118.086
