Molecule,a0,a1,a2,a3,a4,S
1H_butane_2000_,7.3840691894634105,0.1577114915322165,-0.0001492866132044192,6.614968903428869e-08,-1.113786300447903e-11,108.498
1H_decane_2000_,17.975199405756136,0.3870672281704129,-0.0003773739256687924,1.7058247909368447e-07,-2.913537604903865e-11,193.248
1H_dodecane_2000_,21.373009604873552,0.46395643496474187,-0.00045394774220890584,2.0568420695477383e-07,-3.519027729197137e-11,220.307
1H_ethane_2000_,4.121966597885391,0.08039934910040981,-7.214420102211981e-05,3.071256448175594e-08,-5.012632460645144e-12,79.742
1H_heptane_2000_,12.771720287513281,0.2720442978196902,-0.0002628789696262725,1.181192226858188e-07,-2.0088560195908695e-11,150.756
1H_hexane_2000_,10.97037601738434,0.23395391366354895,-0.0002250337221582954,1.0080223313752647e-07,-1.710555850219463e-11,136.859
1H_methane_2000_,2.85239519879071,0.04022160632874373,-3.145320247035954e-05,1.1785393410550138e-08,-1.7077774411677386e-12,62.105
1H_nonane_2000_,16.009968614494742,0.34946755211399205,-0.00034011884611123553,1.5357698781197548e-07,-2.621194957846128e-11,178.224
1H_octane_2000_,14.242193324627676,0.3112964271749545,-0.0003021959959958622,1.3622624077151585e-07,-2.3223529675815087e-11,164.189
1H_pentane_2000_,9.372014368803457,0.19517945468630885,-0.00018634475930408046,8.304113683037453e-08,-1.4038436951356497e-11,123.173
1H_propane_2000_,5.930260749527399,0.1184566386220276,-0.00010999191635038783,4.806038272629319e-08,-8.006851053417991e-12,95.577
1H_undecane_2000_,19.678133962901207,0.42540685064565387,-0.0004154802568927123,1.8802308564693839e-07,-3.21400541798054e-11,206.63
1_butane_2000_,7.493569244232579,0.15978103185954073,-0.00015488615386294698,7.016141204296503e-08,-1.203018215797418e-11,110.036
1_octane_alpha_prod_prod_ene_2000_,13.3728613034138,0.2516936210094194,-0.0002480392371653162,1.1297977929552947e-07,-1.9411312993875822e-11,147.337
1_pentane_2000_,9.225470778279773,0.19812097009133461,-0.00019304936863517654,8.764861628685994e-08,-1.5045697032898698e-11,123.694
